"","MP1","MP2","MP3","MP4","MP5","MP6","MP7","MP8","MP9","MP10"
"1","SFRP2","SOX6","CCL11","TUBA4A","SLC30A1","CD24","LCN2","ACTG2","SFTA1P","SFTA1P"
"2","GREM1","AGT","DNAJA4","CXCL8","TNFRSF11B","CRABP2","NFATC1","ACTA2","SEZ6L2","HAPLN1"
"3","MGST1","NSG1",NA,"RGS1","E2F3","WNT2","AC007952.4","MYOCD","SEMA3B","ADAMDEC1"
"4","MAPKAP1","F3",NA,"FAM49B","HGF","CLU","TNFAIP2","TAGLN","PTN","MMD"
"5","TNFSF13B","TAGLN",NA,NA,"NRG1","GJB2","DUSP5","SLMAP","CGAS","AGR2"
"6","CHRDL2","ADAM19",NA,NA,"PDK4","AGT","CCL11","APCDD1","IL7R","IGLC1"
"7","CLU","MMD",NA,NA,"TRIB1","RASSF2","SKIL","FLNA","ADGRE2","CXCL6"
"8","THBS2","F2RL2",NA,NA,"WNT2","EFEMP1","IGLC1","COL4A1","GPX3","AC015912.3"
"9",NA,"WNT5A",NA,NA,"VEGFA","ACTG2","NAMPT",NA,"SPRY1","TMEM150C"
"10",NA,"COL4A5",NA,NA,"NXN","SLC12A8","CXCL1",NA,NA,"TRIB1"
"11",NA,"MMP1",NA,NA,"FDCSP","BID","CXCL2",NA,NA,"CXCL1"
"12",NA,"PTX3",NA,NA,NA,"FAP","MZB1",NA,NA,"APOC1"
"13",NA,"ACTA2",NA,NA,NA,"AC104083.1","MAFF",NA,NA,"GGCT"
"14",NA,"PTPRE",NA,NA,NA,"CXCL8",NA,NA,NA,"F3"
"15",NA,"HIVEP3",NA,NA,NA,"RCAN2",NA,NA,NA,"STMN2"
"16",NA,"ADAMTS9",NA,NA,NA,"CXCL2",NA,NA,NA,"MAP4K3-DT"
"17",NA,"MPHOSPH6",NA,NA,NA,"ACTA2",NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,"LINC00578",NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,"C3",NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,"PLOD2",NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,"TAGLN",NA,NA,NA,NA
